achieved_offered_rate_rps,arrival,completed_throughput_rps,goodput_rps,joint_attainment,request_rate_rps,run_id,scenario,scheduler,seed,slo_tier,tpot_attainment,ttft_attainment,valid
0.5641956895679744,poisson,0.551595252138775,0.35302096136881606,0.64,0.564193994,20260813T184956.080339-g2-527270f5b285971de418,balanced,stock_auto,1,medium,0.64,0.93,True
1.128389558135429,poisson,1.0674325190188363,1.0674325190188363,1.0,1.128387988,20260813T185424.320820-g2-ff18bc2fe4cf88e8bd9b,balanced,stock_auto,1,medium,1.0,1.0,True
1.974678544081511,poisson,1.7724451127587202,1.7724451127587202,1.0,1.974678979,20260813T185722.750729-g2-2775bbf4e341335681d5,balanced,stock_auto,1,medium,1.0,1.0,True
5.3601980090277905,poisson,3.97872259367934,3.97872259367934,1.0,5.359842942,20260813T193834.860698-g2-f7c628e7cc517a97ab72,balanced,stock_auto,1,medium,1.0,1.0,True
5.571709665918482,poisson,4.058025015349408,4.058025015349408,1.0,5.571415689,20260813T194024.391956-g2-95cdab7bbed23ee0b6b8,balanced,stock_auto,1,medium,1.0,1.0,True
5.783104751284911,poisson,4.179617232954041,3.5108784756813947,0.84,5.782988437,20260813T194214.305064-g2-6aed66eeef182c6918c5,balanced,stock_auto,1,medium,1.0,0.84,True
5.9946468210791055,poisson,4.254394462816811,3.233339791740776,0.76,5.994561185,20260813T194401.603602-g2-be4fbc24608fbb9d5d9d,balanced,stock_auto,1,medium,1.0,0.76,True
6.206229566872116,poisson,4.3415493405106425,2.995669044952343,0.69,6.206133932,20260813T194549.619975-g2-dec4ae9853b008e08a08,balanced,stock_auto,1,medium,1.0,0.69,True
0.3795755068410893,poisson,0.3669949159064237,0.3669949159064237,1.0,0.379575255,20260813T181516.886456-g2-0a3fdaddbb182a94aba5,decode_heavy,stock_auto,1,medium,1.0,1.0,True
0.7591531291833373,poisson,0.7031013800298237,0.7031013800298237,1.0,0.759150509,20260813T182212.939358-g2-4aeb3e12e5f6a2fa6a7b,decode_heavy,stock_auto,1,medium,1.0,1.0,True
1.3285265197470328,poisson,1.1561373252953346,1.1561373252953346,1.0,1.328513392,20260813T182657.656812-g2-6ac72e2e87d3e43dbb9c,decode_heavy,stock_auto,1,medium,1.0,1.0,True
1.897914554733895,poisson,1.5479219656134868,1.5479219656134868,1.0,1.897876274,20260813T183045.990996-g2-ca50495f81fbbed13545,decode_heavy,stock_auto,1,medium,1.0,1.0,True
2.467236338469898,poisson,1.8970247324614458,1.859084237812217,0.98,2.467239156,20260813T183728.998639-g2-70a99d7869b79637b6a5,decode_heavy,stock_auto,1,medium,1.0,0.98,True
3.0366745592056574,poisson,2.1466959607768166,2.0608281223457436,0.96,3.036602038,20260813T184048.221678-g2-34314b065f7e4c97452d,decode_heavy,stock_auto,1,medium,1.0,0.96,True
3.6059311544934807,poisson,2.449640965941713,2.4251445562822957,0.99,3.60596492,20260813T192030.199272-g2-ff92c9781eae1e25aac7,decode_heavy,stock_auto,1,medium,1.0,0.99,True
3.7482882399623905,poisson,2.50866428245725,2.458490996808105,0.98,3.74830564,20260813T192631.615484-g2-7245665972dfadd260c3,decode_heavy,stock_auto,1,medium,1.0,0.98,True
3.8906661374301854,poisson,2.563364242637759,2.4864633153586264,0.97,3.890646361,20260813T192931.633531-g2-293be6633d909d102fc2,decode_heavy,stock_auto,1,medium,1.0,0.97,True
4.032977487119168,poisson,2.6166782352164586,2.1718429352296607,0.83,4.032987082,20260813T193230.627564-g2-a2f469f09284e6bb711f,decode_heavy,stock_auto,1,medium,1.0,0.83,True
4.175880338183949,poisson,2.6027781006816255,1.7698891084635053,0.68,4.175327802,20260813T193534.192353-g2-9735a6737fae384f58a0,decode_heavy,stock_auto,1,medium,1.0,0.68,True
2.585539052759895,poisson,2.508316278034336,2.407983626912963,0.96,2.585513634,20260813T194737.170780-g2-606dbbf5eedd27243c1c,prefill_heavy,stock_auto,1,medium,0.96,1.0,True
2.8625811835881376,poisson,2.7653781399862924,2.516494107387526,0.91,2.862532952,20260813T194859.497297-g2-92f5303d100da4d313c8,prefill_heavy,stock_auto,1,medium,0.91,1.0,True
3.1395853537505127,poisson,3.020008964417783,2.7482081576201827,0.91,3.13955227,20260813T195017.543468-g2-b2bc811ade52e08d240f,prefill_heavy,stock_auto,1,medium,0.91,1.0,True
3.4166044063135015,poisson,3.271734663776638,2.846409157485675,0.87,3.416571588,20260813T195133.183707-g2-8776c76e56f67030fa7e,prefill_heavy,stock_auto,1,medium,0.87,1.0,True
3.6937094582503622,poisson,3.5220665088001217,2.923315202304101,0.83,3.693590906,20260813T195245.528049-g2-b81766c479a0a4631a23,prefill_heavy,stock_auto,1,medium,0.83,1.0,True
4.801905184575909,poisson,3.5411185080654404,0.14164474032261762,0.04,4.801668178,20260813T190906.756379-g2-3b9bb959c113e047448b,prefill_heavy,stock_auto,1,medium,0.1,0.29,True
5.909807211832748,poisson,5.439018173153955,0.9246330894361723,0.17,5.90974545,20260813T190805.900021-g2-dd5446d66060724173e6,prefill_heavy,stock_auto,1,medium,0.17,0.85,True
7.01825118046774,poisson,6.30797374574438,0.6938771120318817,0.11,7.017822722,20260813T190707.358224-g2-91f4eef400198866eec4,prefill_heavy,stock_auto,1,medium,0.11,0.8,True
8.126480831348962,poisson,6.79182039965831,0.0,0.0,8.125899994,20260813T190610.025378-g2-6ca78589dde3bcc9418c,prefill_heavy,stock_auto,1,medium,0.1,0.39,True
