frame_id,elapsed_start_seconds,sum_tbt_debt,sum_ttft_debt,selected_budget,predicted_duration_seconds,actual_duration_seconds,prediction_error_seconds,action,selected_template,current_prefill_count,current_decode_count
1,0.0,0.0,0.005086183547973633,106,0.13276809047919583,0.139801761,0.0070336705208041694,PREFILL_ONLY,ALL_DECODE:P25:requested_106,1,0
2,0.139801761,0.0,0.0,321,0.17701430761751907,0.173205788,-0.003808519617519074,PREFILL_ONLY,ALL_DECODE:MAX:requested_321,1,0
3,0.313007549,0.0,0.0,0,0.1268650115744058,0.12573859,-0.0011264215744057893,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
4,0.43874613900000003,0.0,0.0,0,0.12686574965014655,0.125474541,-0.0013912086501465526,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
5,0.56422068,0.0,0.0,0,0.12686648772588727,0.126184065,-0.0006824227258872551,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
6,0.690404745,0.0,0.0,0,0.126867225801628,0.124431976,-0.0024352498016279867,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
7,0.814836721,0.0,0.0,0,0.1268679638773687,0.124334424,-0.0025335398773687068,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
8,0.939171145,0.0,0.0,0,0.12686870195310943,0.124391527,-0.0024771749531094234,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
9,1.063562672,0.0,0.0,0,0.12686944002885017,0.125553405,-0.0013160350288501654,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
10,1.189116077,0.0,0.0,0,0.1268701781045909,0.124408248,-0.0024619301045908926,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
11,1.313524325,0.0,0.0,0,0.1268709161803316,0.124575449,-0.0022954671803316062,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
12,1.4380997739999999,0.0,0.0,0,0.12687165425607236,0.124060439,-0.0028112152560723636,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,1
13,1.5621602129999999,0.0,0.004106879234313965,155,0.06447511152359509,0.140386914,0.07591180247640492,MIXED,ALL_DECODE:P25:requested_155,1,1
14,1.7025471269999999,0.0,0.0,465,0.15177599480226722,0.202249748,0.050473753197732785,MIXED,ALL_DECODE:MAX:requested_465,1,1
15,1.904796875,0.0,0.0,0,0.12748917832210951,0.127980169,0.0004909906778904904,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
16,2.032777044,0.0,0.0,0,0.12749065447359098,0.125971199,-0.0015194554735909749,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
17,2.158748243,0.0,0.0,0,0.12749213062507242,0.126423936,-0.0010681946250724328,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
18,2.285172179,0.0,0.0,0,0.12749360677655389,0.125017578,-0.0024760287765538957,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
19,2.410189757,0.0,0.0,0,0.12749508292803532,0.125777773,-0.0017173099280353155,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
20,2.5359675299999997,0.0,0.0,0,0.12749655907951676,0.125095755,-0.0024008040795167607,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
21,2.6610632849999996,0.0,0.0,0,0.12749803523099823,0.124951289,-0.002546746230998237,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
22,2.7860145739999997,0.0,0.0,0,0.1274995113824797,0.12493017,-0.0025693413824797035,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
23,2.9109447439999996,0.0,0.0,0,0.12750098753396114,0.12577323,-0.0017277575339611217,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
24,3.0367179739999997,0.0,0.0,0,0.12750246368544257,0.124980569,-0.0025218946854425744,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
25,3.1616985429999995,0.0,0.0,0,0.12750393983692404,0.125202283,-0.002301656836924043,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
26,3.2869008259999997,0.0,0.0,0,0.12750541598840548,0.125157115,-0.002348300988405466,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
27,3.4120579409999996,0.0,0.0,0,0.12750689213988695,0.12571739,-0.0017895021398869337,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
28,3.5377753309999997,0.0,0.0,0,0.12750836829136838,0.124859529,-0.002648839291368388,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
29,3.66263486,0.0,0.0,0,0.12750984444284982,0.124980154,-0.0025296904428498274,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
30,3.787615014,0.0,0.0,0,0.1275113205943313,0.125221978,-0.0022893425943312784,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
31,3.912836992,0.0,0.0,0,0.12751279674581276,0.126072271,-0.001440525745812743,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
32,4.038909263,0.0,0.0,0,0.1275142728972942,0.125164457,-0.0023498158972941885,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
33,4.16407372,0.0,0.0,0,0.12751574904877563,0.1253479,-0.002167849048775622,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
34,4.289421620000001,0.0,0.0,0,0.1275172252002571,0.125227499,-0.0022897262002571084,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
35,4.414649119000001,0.0,0.0,0,0.12751870135173854,0.125764733,-0.0017539683517385496,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
36,4.540413852,0.0,0.0,0,0.12752017750322,0.125226891,-0.002293286503219999,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
37,4.665640743,0.0,0.0,0,0.12552822518045356,0.125138954,-0.00038927118045356535,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
38,4.790779697,0.0,0.0,0,0.12551790523636444,0.125415244,-0.00010266123636443192,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
39,4.916194941,0.0,0.0,0,0.1255163619404033,0.125565325,4.8963059596701664e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
40,5.041760266,0.0,0.0,0,0.12551923703553589,0.125892973,0.00037373596446410584,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
41,5.167653239,0.0,0.0,0,0.12553109474106053,0.125834317,0.00030322225893947286,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
42,5.293487556,0.0,0.0,0,0.12554076608885856,0.125238666,-0.000302100088858559,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
43,5.418726222,0.0,0.0,0,0.12553429223852447,0.125720941,0.000186648761475533,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
44,5.544447163,0.0,0.0,0,0.12554055425558122,0.12529481,-0.00024574425558121504,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
45,5.669741973,0.0,0.0,0,0.12553588680033245,0.125141274,-0.0003946128003324556,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
46,5.794883247,0.0,0.0,0,0.12552773824959518,0.125241562,-0.00028617624959517696,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
47,5.920124809,0.0,0.0,0,0.12552240068145823,0.12581819,0.00029578931854176704,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
48,6.045942999,0.0,0.0,0,0.12553075565407415,0.125170746,-0.0003600096540741504,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
49,6.171113745,0.0,0.0,0,0.12552404976803752,0.125106713,-0.00041733676803751285,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
50,6.2962204580000005,0.0,0.0,0,0.1255162517699198,0.125289098,-0.0002271537699198023,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
51,6.421509556,0.0,0.0,0,0.12551278979492886,0.125563708,5.0918205071137645e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
52,6.547073264,0.0,0.0,0,0.12551534931284972,0.124837465,-0.000677884312849722,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
53,6.6719107289999995,0.0,0.0,0,0.12550270287452597,0.125778333,0.000275630125474019,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,2
54,6.797689062,0.0,0.029942631721496582,56,0.041438477050782296,0.133595665,0.0921571879492177,MIXED,ALL_DECODE:P25:requested_56,1,2
55,6.9312847269999995,0.0,0.0,170,0.0721119697904205,0.144657941,0.07254597120957951,MIXED,ALL_DECODE:MAX:requested_170,1,2
